observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5
remora5,remora4,19.78,19.78,19.79,19.80,19.84,19.87,19.88,19.90,19.87,19.89,19.78,19.78,19.79,19.80,19.84,19.87,19.88,19.90,19.87,19.89,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,183.88
remora5,remora4,19.95,20.00,19.99,19.98,19.98,19.97,19.95,19.99,20.00,19.99,19.95,20.00,19.99,19.98,19.98,19.97,19.95,19.99,20.00,19.99,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,184.36
remora5,remora4,19.99,19.98,20.00,20.00,19.98,19.99,19.99,19.96,20.01,19.98,19.99,19.98,20.00,20.00,19.98,19.99,19.99,19.97,20.01,19.98,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,181.66
remora5,remora4,20.00,19.98,19.99,20.00,20.01,19.99,19.97,19.98,19.99,20.02,20.00,19.99,19.99,20.00,20.01,19.99,19.97,19.98,19.99,20.02,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,182.07
remora5,remora4,19.99,19.99,19.98,19.98,20.02,20.01,19.99,19.99,19.98,20.01,19.99,19.99,19.98,19.98,20.02,20.01,19.99,19.99,19.98,20.01,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,182.87
remora5,remora4,20.03,19.99,19.99,19.98,20.01,20.04,20.00,20.00,19.98,19.98,20.03,19.99,19.99,19.98,20.00,20.04,20.00,20.00,19.98,19.98,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,182.47
remora5,remora4,20.04,20.03,20.01,19.99,19.96,19.98,20.02,20.00,20.00,19.98,20.04,20.03,20.01,19.99,19.96,19.98,20.02,20.00,20.00,19.98,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,184.06
remora5,remora4,20.00,19.97,19.98,20.02,20.01,20.00,19.98,19.97,20.02,20.02,20.00,19.97,19.98,20.02,20.01,20.00,19.98,19.97,20.02,20.02,1.05,1.05,1.05,1.06,1.06,1.05,1.05,1.05,1.06,1.06,1.05,1.05,1.05,1.06,1.06,1.05,1.05,1.05,1.06,1.06,183.66
remora5,remora3,19.75,19.76,19.77,19.80,19.87,19.89,19.88,19.89,19.86,19.92,19.75,19.76,19.77,19.80,19.87,19.89,19.88,19.89,19.86,19.92,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,183.87
remora5,remora3,19.96,20.03,20.00,19.99,19.97,19.94,19.95,20.00,20.00,19.97,19.96,20.03,20.00,19.99,19.97,19.94,19.95,20.00,20.00,19.97,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,184.33
remora5,remora3,19.99,19.95,20.02,20.00,19.98,19.99,19.97,20.00,20.01,19.97,19.99,19.95,20.02,20.00,19.98,19.99,19.97,20.00,20.02,19.97,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,181.67
remora5,remora3,20.00,19.96,20.03,20.03,20.01,19.99,19.98,20.01,20.02,20.00,20.00,19.96,20.03,20.03,20.01,19.99,19.98,20.01,20.02,20.00,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,182.09
remora5,remora3,19.99,19.98,19.96,20.01,20.03,19.99,19.98,19.97,20.01,20.05,19.99,19.98,19.96,20.01,20.02,19.99,19.98,19.97,20.00,20.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,182.85
remora5,remora3,20.01,20.00,19.98,19.99,20.03,20.02,19.98,19.98,19.96,20.03,20.01,20.00,19.98,19.99,20.03,20.02,19.98,19.98,19.96,20.02,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,182.47
remora5,remora3,20.04,19.99,20.00,19.97,19.98,20.02,20.01,19.99,19.98,19.97,20.04,19.99,20.00,19.97,19.98,20.02,20.01,19.99,19.98,19.96,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,184.06
