timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,fault_status,fault_type,movement_pattern
136.53,remora9,remora8,14.23,14.22,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,14.78,14.78,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,184.70,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
137.53,remora9,remora8,30.00,30.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,178.70,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
138.53,remora9,remora8,30.00,30.00,30.00,30.00,30.00,30.00,10.98,10.98,10.89,10.89,30.00,30.00,30.00,30.00,30.00,30.00,11.60,11.60,11.51,11.51,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,171.20,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
139.53,remora9,remora8,10.89,10.81,10.74,10.74,0.00,0.00,0.00,0.00,0.00,10.09,11.51,11.43,11.37,11.37,0.00,0.00,0.00,0.00,0.00,10.73,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,146.68,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
140.53,remora9,remora8,10.02,10.02,10.02,9.95,9.68,9.68,9.37,9.37,9.30,9.30,10.66,10.66,10.66,10.59,10.32,10.32,10.02,10.02,9.95,9.95,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,126.67,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
141.53,remora9,remora8,8.79,8.79,8.79,8.72,8.72,8.43,8.43,8.13,7.84,7.84,9.45,9.45,9.45,9.38,9.38,9.10,9.10,8.80,8.52,8.52,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,117.45,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
142.53,remora9,remora8,7.54,7.54,7.25,7.25,6.94,6.94,6.65,6.65,6.12,6.12,8.22,8.22,7.94,7.94,7.64,7.64,7.35,7.35,6.82,6.82,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,106.70,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
143.53,remora9,remora8,6.12,6.05,5.51,5.51,5.21,5.21,4.90,4.90,4.90,4.35,6.82,6.76,6.23,6.23,5.94,5.94,5.63,5.63,5.63,5.09,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,102.93,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
144.53,remora9,remora8,4.35,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.09,4.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,96.25,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
145.53,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,81.44,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
