timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,movement_pattern
107.59,remora9,remora5,0.00,0.00,0.00,0.00,0.00,-20.57,-20.57,-5.37,-5.37,5.59,0.00,0.00,0.00,0.00,0.00,-19.75,-19.75,-6.20,-6.20,4.86,3.12,3.11,3.10,3.09,3.08,3.06,3.04,3.02,3.01,3.00,5.30,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.28,5.28,218.09,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
108.59,remora9,remora5,5.59,5.56,5.56,5.56,-4.06,-4.06,5.49,5.49,5.49,-23.10,4.86,4.83,4.83,4.83,-4.88,-4.88,4.76,4.76,4.76,-23.93,3.00,3.00,2.97,2.96,2.96,2.96,2.95,2.94,2.93,2.92,5.29,5.29,5.29,5.29,5.30,5.30,5.31,5.31,5.31,5.31,224.96,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
109.59,remora9,remora5,-23.10,5.45,5.45,-1.81,-1.81,12.01,-0.92,-0.92,6.34,6.34,-23.93,4.71,4.71,-2.64,-2.64,11.40,-1.74,-1.74,5.63,5.63,2.90,2.89,2.91,2.92,2.91,2.90,2.89,2.88,2.87,2.87,5.31,5.31,5.31,5.32,5.33,5.33,5.33,5.86,5.86,5.85,216.95,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
110.59,remora9,remora5,-0.39,-0.39,-0.39,-0.02,-0.02,13.16,13.16,0.46,0.83,0.83,-1.22,-1.22,-1.22,-0.85,-0.85,12.57,12.57,-0.36,0.02,0.02,2.88,2.88,2.89,2.88,2.87,2.86,2.85,2.84,2.83,2.83,5.85,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.86,5.87,191.02,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
111.59,remora9,remora5,0.83,13.78,13.78,-21.74,-21.74,-21.74,6.78,2.09,2.09,21.04,0.02,13.21,13.21,-22.56,-22.56,-22.56,6.08,1.30,1.30,20.62,2.84,2.85,2.86,2.86,2.84,2.84,2.86,2.86,2.85,2.85,5.88,5.88,5.89,5.89,5.89,5.90,5.90,5.90,5.91,5.91,174.32,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
112.59,remora9,remora5,15.13,15.13,-20.95,-20.95,3.37,3.37,3.37,16.00,4.21,4.21,14.58,14.58,-21.77,-21.77,2.60,2.60,2.60,15.47,3.46,3.46,2.84,2.84,2.83,2.83,2.84,2.86,2.88,2.90,2.91,2.93,5.91,5.91,5.91,5.92,5.92,5.93,5.93,5.94,5.94,5.95,155.68,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
113.59,remora9,remora5,4.21,5.08,16.95,16.95,7.84,7.84,25.96,25.96,25.96,17.23,3.46,4.34,16.44,16.44,7.15,7.15,25.68,25.68,25.68,16.72,2.94,2.95,2.96,2.96,2.95,2.95,2.96,2.95,2.93,2.93,5.95,5.96,5.96,5.97,5.97,5.97,5.98,5.98,5.98,5.98,142.46,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
114.59,remora9,remora5,17.23,-20.30,-20.30,5.70,5.70,-20.14,7.38,7.38,18.24,18.24,16.72,-21.13,-21.13,4.97,4.97,-20.97,6.68,6.68,17.75,17.75,2.93,2.94,2.95,2.95,2.95,2.95,2.95,2.96,2.97,2.98,5.98,5.99,6.00,6.00,6.01,6.01,6.02,6.02,6.03,6.03,127.95,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
115.59,remora9,remora5,18.24,18.49,18.49,-19.84,-19.84,8.44,8.44,8.39,9.16,9.16,17.75,18.01,18.01,-20.66,-20.66,7.76,7.76,7.71,8.50,8.50,2.99,3.00,3.00,3.01,3.02,3.02,3.02,3.01,3.00,3.01,6.04,6.04,6.05,6.05,6.06,6.06,6.06,6.06,6.06,6.06,113.44,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
116.59,remora9,remora5,9.16,29.52,8.79,8.79,8.79,19.66,19.66,9.21,9.21,29.51,8.50,29.42,8.12,8.12,8.12,19.20,19.20,8.54,8.54,29.41,3.01,3.03,3.01,3.01,3.00,2.99,2.97,2.96,2.96,2.94,6.06,6.06,6.06,6.07,6.07,6.07,6.07,6.07,6.07,6.07,102.72,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
