seed,timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,movement_pattern
1,119.03,remora9,remora7,14.3,5.86,5.86,5.71,5.71,5.89,5.89,5.51,5.51,5.51,13.73,5.13,5.13,4.98,4.98,5.16,5.16,4.78,4.78,4.78,5.29,5.28,5.28,5.29,5.29,5.29,5.28,5.28,5.27,5.27,7.6,7.58,7.57,7.57,7.56,7.55,7.54,7.53,7.52,7.51,50.83,0,0,1,0,0,0,-1,0,None,aggregation
1,120.03,remora9,remora7,5.38,5.38,5.52,5.48,5.48,5.48,5.48,5.95,5.95,5.96,4.64,4.64,4.79,4.75,4.75,4.75,4.75,5.23,5.23,5.24,5.27,5.29,5.3,5.32,5.33,5.35,5.36,5.38,2.59,2.6,7.51,7.51,7.5,7.5,7.5,7.5,7.5,7.5,5.87,5.87,51.38,0,0,1,0,0,0,-1,0,None,aggregation
1,121.03,remora9,remora7,5.96,5.96,5.3,5.3,5.17,5.16,5.16,5.16,5.43,5.42,5.24,5.24,4.56,4.56,4.43,4.42,4.42,4.42,4.69,4.69,2.61,2.62,2.63,2.63,2.62,2.62,2.62,2.61,2.61,2.61,5.87,5.87,5.87,5.87,5.87,5.86,5.86,5.86,5.85,5.85,52.16,0,1,1,0,0,0,-1,0,None,aggregation
1,122.03,remora9,remora7,5.42,5.42,5.56,5.68,5.68,5.68,14.01,18.72,18.72,18.72,4.69,4.69,4.83,4.95,4.95,4.95,13.43,18.25,18.25,18.25,2.61,2.6,2.6,2.6,2.61,2.62,2.62,2.62,2.62,2.62,5.85,5.85,5.85,5.85,5.85,5.85,5.85,5.84,5.83,5.82,57.05,0,1,1,0,0,0,-1,0,None,aggregation
1,123.03,remora9,remora7,18.71,18.7,18.7,18.7,13.44,18.5,18.5,18.26,18.26,18.08,18.23,18.23,18.23,18.23,12.86,18.02,18.02,17.77,17.77,17.59,2.62,2.62,2.61,2.61,2.62,2.64,2.65,2.67,2.67,2.67,5.81,5.81,5.8,5.79,5.78,5.78,5.78,5.78,5.77,5.76,69.51,0,1,1,0,0,0,-1,0,None,aggregation
1,124.03,remora9,remora7,18.08,12.39,12.39,17.96,17.96,17.96,12.22,17.97,17.97,12.07,17.59,11.79,11.79,17.46,17.46,17.46,11.61,17.48,17.48,11.46,2.67,2.67,2.66,2.66,2.66,2.66,2.66,2.66,2.67,2.69,5.75,5.74,5.74,5.74,5.73,5.73,5.73,5.73,5.66,5.66,80.3,0,1,1,0,0,0,-1,0,None,aggregation
1,125.03,remora9,remora7,12.07,17.65,17.65,17.65,17.49,17.5,17.5,11.23,11.23,17.53,11.46,17.15,17.15,17.15,16.99,17,17,10.6,10.6,17.03,2.7,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,5.65,5.65,5.65,5.64,5.63,5.62,5.61,5.59,5.59,5.58,90.84,0,1,1,0,0,0,-1,0,None,aggregation
1,126.03,remora9,remora7,17.53,17.53,17.53,17.53,11.02,11.02,17.25,17.25,17.11,17.11,17.03,17.03,17.03,17.03,10.38,10.38,16.74,16.74,16.6,16.61,2.72,2.72,2.72,2.74,2.76,2.78,2.79,2.79,2.79,2.79,5.58,5.57,5.56,5.56,5.56,5.56,5.56,5.54,5.54,5.53,101.95,0,1,1,0,0,0,-1,0,None,aggregation
1,127.03,remora9,remora7,17.11,17.11,17.13,17.14,17.14,17.14,17.19,17.19,14.95,14.83,16.61,16.61,16.62,16.63,16.63,16.63,16.68,16.68,14.39,14.27,2.79,2.79,2.79,2.79,2.79,2.79,2.78,2.78,2.79,2.81,5.52,5.52,5.51,5.5,5.49,5.49,5.47,5.46,5.45,5.45,113.6,0,1,1,0,0,0,-1,0,None,aggregation
1,128.03,remora9,remora7,14.83,-0.79,-0.79,-0.77,-0.77,-0.49,-0.49,-0.51,-0.51,-0.24,14.27,-1.61,-1.61,-1.6,-1.6,-1.31,-1.31,-1.33,-1.33,-1.06,2.83,2.85,2.85,2.85,2.84,2.83,2.82,2.82,2.81,2.8,5.45,5.45,5.46,5.46,5.46,5.47,5.47,5.47,5.47,5.47,109.8,0,1,1,0,0,0,-1,0,None,aggregation
1,129.03,remora9,remora7,-0.24,0.79,0.79,0.79,0.83,0.84,0.84,0.83,0.83,0.3,-1.06,-0.03,-0.03,-0.03,0.01,0.03,0.03,0.02,0.02,-0.53,2.81,2.82,2.84,2.85,2.85,2.84,2.83,2.83,2.82,2.81,5.48,5.49,5.49,5.5,5.5,5.5,5.5,5.5,5.5,5.51,103.99,0,1,1,0,0,0,-1,0,None,aggregation
1,130.03,remora9,remora7,0.3,16.01,16.01,16.01,0.58,0.31,0.31,0.31,0.32,0.32,-0.53,15.47,15.47,15.47,-0.24,-0.51,-0.51,-0.51,-0.5,-0.5,2.81,2.8,2.81,2.83,2.84,2.85,2.85,2.84,2.84,2.83,5.51,5.51,5.51,5.51,5.51,5.52,5.52,5.52,5.52,5.53,103.54,0,1,1,0,0,0,-1,0,None,aggregation
1,131.03,remora9,remora7,10.3,10.3,0.59,0.59,0.59,0.62,0.62,0.62,16.43,16.43,9.66,9.66,-0.23,-0.23,-0.23,-0.2,-0.2,-0.2,15.91,15.91,2.83,2.82,2.83,2.84,2.86,2.88,2.88,2.87,2.87,2.87,5.53,5.53,5.53,5.54,5.55,5.56,5.56,5.57,5.57,5.56,103.85,0,1,1,0,0,0,-1,0,None,aggregation
1,132.03,remora9,remora7,1.9,1.89,1.89,1.89,1.13,1.11,1.11,1.11,2.37,2.37,1.1,1.09,1.09,1.09,0.32,0.3,0.3,0.3,1.58,1.58,2.86,2.86,2.85,2.84,2.84,2.83,2.84,2.85,2.85,2.85,5.56,5.56,5.56,5.56,5.56,5.57,5.57,5.3,5.3,5.31,95.09,0,1,1,0,0,0,-1,0,None,aggregation
1,133.03,remora9,remora7,2.39,2.87,2.87,11.18,11.18,2.92,2.92,2.43,2.43,2.91,1.6,2.09,2.09,10.55,10.55,2.15,2.15,1.65,1.65,2.13,2.84,2.84,2.84,2.85,2.87,2.88,2.88,2.87,2.87,2.86,5.31,5.31,5.32,5.32,5.32,5.32,5.33,5.33,5.33,5.33,81.38,0,1,1,0,0,0,-1,0,None,aggregation
1,134.03,remora9,remora7,2.91,17.12,17.12,17.12,2.9,2.9,2.92,1.89,1.89,3.41,2.13,16.61,16.61,16.61,2.12,2.12,2.14,1.09,1.09,2.64,2.85,2.85,2.86,2.88,2.88,2.87,2.86,2.86,2.86,2.87,5.34,5.34,5.34,5.34,5.35,5.35,5.35,5.35,5.36,5.36,72.62,0,1,1,0,0,0,-1,0,None,aggregation
1,135.03,remora9,remora7,3.41,2.94,2.94,2.94,2.95,2.95,2.41,2.41,2.4,3.91,2.64,2.16,2.16,2.16,2.18,2.18,1.62,1.62,1.61,3.15,2.88,2.89,2.89,2.89,2.88,2.87,2.87,2.86,2.86,2.87,5.37,5.38,5.38,5.38,5.39,5.39,5.39,5.39,5.4,5.4,59.68,0,1,1,0,0,0,-1,0,None,aggregation
1,136.03,remora9,remora7,3.91,2.65,2.65,2.65,2.66,3.93,3.93,3.93,3.15,3.42,3.15,1.87,1.87,1.87,1.88,3.17,3.17,3.17,2.37,2.65,2.89,2.9,2.9,2.89,2.88,2.88,2.87,2.86,2.87,2.88,5.41,5.41,5.42,5.42,5.42,5.42,5.43,5.43,5.43,5.44,46.76,0,1,1,0,0,0,-1,0,None,aggregation
1,137.03,remora9,remora7,3.42,3.94,3.94,3.94,3.96,3.67,3.67,3.65,3.65,3.66,2.65,3.18,3.18,3.18,3.2,2.9,2.9,2.89,2.89,2.9,2.89,2.9,2.9,2.9,2.89,2.89,2.88,2.87,2.88,2.9,5.45,5.45,5.45,5.46,5.46,5.46,5.46,5.47,5.47,5.48,33.7,0,1,0,0,0,0,-1,0,None,aggregation
1,138.03,remora9,remora7,3.66,3.66,4.46,4.46,4.48,4.48,4.46,4.46,4.95,4.16,2.9,2.9,3.71,3.71,3.73,3.73,3.71,3.71,4.2,3.41,2.91,2.92,2.92,2.92,2.91,2.91,2.9,2.89,2.88,2.88,5.49,5.49,5.5,5.5,5.5,5.5,5.51,5.51,5.51,5.52,35.28,0,1,0,0,0,0,-1,0,None,aggregation
1,139.03,remora9,remora7,4.16,4.16,4.16,4.16,4.19,4.19,4.98,4.98,4.95,4.94,3.41,3.41,3.41,3.41,3.43,3.43,4.24,4.24,4.21,4.2,2.89,2.9,2.91,2.93,2.93,2.92,2.92,2.91,2.9,2.9,5.52,5.53,5.53,5.54,5.54,5.55,5.55,5.55,5.55,5.56,38.99,0,1,0,0,0,0,-1,0,None,aggregation
1,140.03,remora9,remora7,4.94,5.4,5.4,5.41,5.41,4.97,4.97,4.97,4.44,4.44,4.2,4.67,4.67,4.68,4.68,4.23,4.23,4.23,3.69,3.69,2.89,2.88,2.89,2.91,2.92,2.93,2.93,2.93,2.92,2.91,5.56,5.56,5.57,5.57,5.58,5.58,5.58,5.59,5.59,5.59,38.86,0,1,0,0,0,0,-1,0,None,aggregation
