timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,movement_pattern
139.03,remora8,remora6,22.21,29.51,29.51,29.67,29.67,29.53,29.91,29.91,29.91,24.26,22.59,29.41,29.41,29.58,29.58,29.62,29.86,29.86,29.86,24.58,1.36,1.37,1.37,1.38,1.39,1.40,1.41,1.42,1.43,1.45,3.25,3.24,3.24,3.23,3.22,3.22,3.21,3.20,3.20,3.19,194.93,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
140.03,remora8,remora6,-17.82,-17.82,-17.82,29.97,29.97,29.98,29.98,29.98,26.55,26.55,-17.00,-17.00,-17.00,29.95,29.95,29.96,29.96,29.96,26.80,26.80,1.46,1.49,1.51,1.50,1.47,1.45,1.43,1.41,1.38,1.36,3.19,3.18,3.17,3.17,3.17,3.17,3.17,3.17,3.17,3.18,200.55,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
141.03,remora8,remora6,26.55,29.75,29.75,9.62,9.62,29.93,29.98,29.98,29.98,18.06,26.80,29.81,29.81,10.27,10.27,29.96,30.00,30.00,30.00,18.54,1.34,1.32,1.30,1.29,1.28,1.27,1.25,1.23,1.21,1.19,3.18,3.18,3.18,3.18,4.00,4.00,4.00,4.00,4.00,4.00,215.03,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
142.03,remora8,remora6,18.06,29.85,29.85,22.62,22.62,29.80,29.80,29.88,29.88,27.45,18.54,29.79,29.79,22.99,22.99,29.74,29.74,29.83,29.83,27.66,1.18,1.17,1.15,1.13,1.12,1.11,1.09,1.08,1.06,1.05,4.00,4.00,4.01,4.01,4.02,4.02,4.02,4.03,4.03,4.05,230.48,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
143.03,remora8,remora6,27.45,29.70,29.70,1.15,1.15,1.67,1.67,2.24,2.24,27.17,27.66,29.62,29.62,-9.32,-9.32,-8.79,-8.79,-8.23,-8.23,26.94,1.04,1.03,1.01,1.02,1.03,1.04,1.05,1.06,1.07,1.07,4.06,4.07,4.08,4.08,4.08,4.09,4.09,4.09,4.09,4.10,219.88,1.00,1.00,1.00,1.00,1.00,0.00,-1.00,0,None,aggregation
144.03,remora8,remora6,27.17,29.29,30.00,30.00,30.00,29.31,29.45,29.45,29.45,29.45,26.94,29.40,29.99,29.99,29.99,29.42,29.54,29.54,29.54,29.54,1.07,1.06,1.06,1.06,1.05,1.05,1.05,1.06,1.06,1.06,4.11,4.12,4.12,4.13,4.14,4.16,4.17,4.19,4.20,4.22,230.90,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
145.03,remora8,remora6,29.99,29.98,29.98,29.79,29.80,29.80,29.80,28.50,28.50,29.86,29.97,29.96,29.96,29.85,29.85,29.85,29.85,28.33,28.33,29.91,1.06,1.07,1.07,1.08,1.09,1.09,1.10,1.11,1.12,1.13,4.24,4.26,4.28,4.31,4.33,4.34,4.36,4.37,4.38,4.40,248.19,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
146.03,remora8,remora6,29.86,29.86,29.88,27.53,27.53,30.00,30.00,29.88,29.88,29.88,29.91,29.91,29.92,27.31,27.31,29.99,29.99,29.92,29.92,29.92,1.14,1.15,1.17,1.18,1.19,1.20,1.22,1.24,1.25,1.27,4.43,4.45,4.47,4.49,4.50,4.52,4.53,4.55,4.56,4.58,256.58,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
147.03,remora8,remora6,29.88,29.20,29.84,29.84,30.00,30.00,30.00,30.00,29.37,29.37,29.92,29.07,29.89,29.89,30.00,30.00,30.00,30.00,29.26,29.26,1.28,1.30,1.32,1.34,1.36,1.38,1.41,1.43,1.46,1.48,4.60,4.61,4.62,4.63,4.63,4.64,4.65,4.66,4.68,4.69,264.09,1.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
148.03,remora8,remora6,29.37,29.86,29.86,29.87,29.87,30.00,30.00,29.28,29.28,30.00,29.26,29.90,29.90,29.91,29.91,30.00,30.00,29.16,29.16,29.99,1.51,1.54,1.56,1.59,1.62,1.65,1.67,1.70,1.72,1.75,4.70,4.71,4.72,4.73,4.74,4.75,4.75,4.77,4.78,4.80,266.81,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,aggregation
