seed,timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,movement_pattern
18,127.44,remora9,remora5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.52,1.54,1.56,1.58,1.6,1.62,1.63,1.65,1.66,5.36,5.37,5.38,5.38,5.39,5.39,5.4,5.4,5.41,5.41,30.94,0,1,0,0,0,0,-1,0,None,aggregation
18,128.44,remora9,remora5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68,1.69,1.71,1.73,1.74,1.76,1.77,1.79,1.81,1.83,5.41,5.41,5.42,5.42,5.43,5.43,5.43,5.44,5.44,5.44,2.4,0,1,0,0,0,0,-1,0,None,aggregation
18,129.44,remora9,remora5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85,1.86,1.88,1.91,1.93,1.95,1.97,1.96,1.96,1.95,5.44,5.44,5.45,5.46,5.47,5.47,5.47,5.47,5.46,5.46,0,0,1,0,0,0,0,-1,0,None,aggregation
18,130.44,remora9,remora5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.95,1.94,1.94,1.93,1.93,1.92,1.92,1.91,1.91,1.91,5.47,5.47,5.48,5.48,5.48,5.49,5.5,5.5,5.51,5.52,0,0,1,0,0,0,0,-1,0,None,aggregation
18,131.44,remora9,remora5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,1.9,1.9,1.9,1.89,1.89,1.89,1.89,1.88,1.88,5.52,5.52,5.53,5.54,5.55,5.56,5.56,5.56,5.56,5.57,0,0,1,0,0,0,0,-1,0,None,aggregation
18,132.44,remora9,remora5,0,-25.69,-25.69,-25.73,-25.73,-25.76,-25.76,-29.46,-29.46,-25.71,0,-26.52,-26.52,-26.55,-26.55,-26.58,-26.58,-30.28,-30.28,-26.53,1.88,1.88,1.89,1.9,1.92,1.93,1.94,1.96,1.97,1.99,5.57,5.56,5.56,5.56,5.56,5.56,5.56,5.55,5.55,5.55,24.27,0,1,0,0,0,0,-1,0,None,aggregation
18,133.44,remora9,remora5,-25.71,-25.68,-25.68,-9,-9,-29.52,-29.52,-25.51,-25.51,-25.51,-26.53,-26.5,-26.5,-9.82,-9.82,-30.34,-30.34,-24.69,-24.69,-24.69,2,2.01,2.03,2.04,2.05,2.06,2.07,2.09,2.11,2.12,5.54,5.53,5.53,5.53,5.53,5.52,5.52,5.52,5.52,5.52,47.49,0,1,1,0,0,0,-1,0,None,aggregation
18,134.44,remora9,remora5,-29.58,-10.8,-10.8,-25.71,-25.71,-25.71,-11.29,-25.65,-25.65,-11.79,-30.4,-11.62,-11.62,-26.53,-26.53,-26.53,-12.11,-26.47,-26.47,-12.61,2.13,2.15,2.16,2.17,2.19,2.2,2.21,2.22,2.23,2.23,5.52,5.51,5.51,5.5,5.5,5.49,5.49,5.49,5.48,5.47,68.17,0,1,1,0,0,0,-1,0,None,aggregation
18,135.44,remora9,remora5,-11.79,-11.79,-25.52,-25.52,-25.52,13.06,-30.41,-30.41,-22.24,-25.6,-12.61,-12.61,-26.35,-26.35,-26.35,13.64,-29.59,-29.59,-23.07,-26.42,2.23,2.24,2.25,2.27,2.27,2.27,2.27,2.28,2.3,2.32,5.46,5.45,5.44,5.66,5.65,5.65,5.63,5.62,5.6,5.58,90.59,0,1,1,0,0,0,-1,0,None,aggregation
18,136.44,remora9,remora5,-25.6,-29.34,-29.34,-24.57,-24.57,-30.18,-30.18,-14.07,-14.07,-14.07,-26.42,-30.16,-30.16,-23.75,-23.75,-29.36,-29.36,-14.89,-14.89,-14.89,2.33,2.33,2.35,2.37,2.38,2.38,2.4,2.42,2.43,2.45,5.56,5.55,5.53,5.52,5.51,5.49,5.48,5.46,5.45,5.44,114.27,0,1,1,0,0,0,-1,0,None,aggregation
18,137.44,remora9,remora5,-14.57,24.02,24.02,-29.87,-29.87,17.12,17.12,4.15,4.15,4.15,-15.39,24.35,24.35,-29.05,-29.05,16.61,16.61,4.89,4.89,4.89,2.46,2.47,2.45,2.43,2.42,2.43,2.42,2.41,2.4,2.38,5.43,5.41,5.4,5.4,5.38,5.37,5.36,5.35,5.34,5.33,131.23,0,1,1,0,0,0,-1,0,None,aggregation
18,138.44,remora9,remora5,23.47,-8.38,-8.38,-23.55,-23.55,-23.55,-8.69,-12.55,-12.55,-15.41,23.82,-7.56,-7.56,-22.73,-22.73,-22.73,-7.87,-11.73,-11.73,-14.59,2.36,2.35,2.35,2.36,2.38,2.39,2.4,2.39,2.4,2.41,5.32,5.31,5.3,5.29,5.27,5.26,5.25,5.23,5.22,5.2,146.89,0,1,1,0,0,0,-1,0,None,aggregation
18,139.44,remora9,remora5,-15.41,6.2,6.2,6.2,-29.84,-26.91,-26.91,-11.29,-11.29,-15.45,-14.59,6.91,6.91,6.91,-29.02,-27.73,-27.73,-10.47,-10.47,-14.63,2.42,2.43,2.44,2.45,2.47,2.5,2.52,2.54,2.56,2.57,5.2,5.06,5.05,5.04,5.03,5.03,5.02,5.01,5.01,5,162.44,0,1,1,0,0,0,-1,0,None,aggregation
18,140.44,remora9,remora5,-15.45,17.73,17.73,-14.88,-14.88,-29.33,-29.33,-24.01,-24.01,-27.96,-14.63,18.22,18.22,-14.06,-14.06,-28.51,-28.51,-23.19,-23.19,-28.78,2.58,2.59,2.59,2.58,2.59,2.6,2.62,2.65,2.67,2.69,4.99,4.98,4.97,4.97,4.96,4.96,4.95,4.94,4.94,4.93,183.78,0,1,1,0,0,0,-1,0,None,aggregation
18,141.44,remora9,remora5,-27.96,-14.3,-14.3,-11.63,-11.63,-11.52,-11.52,3.54,3.54,-11.4,-28.78,-13.48,-13.48,-10.81,-10.81,-10.7,-10.7,4.29,4.29,-10.57,2.71,2.74,2.76,2.77,2.78,2.79,2.8,2.81,2.82,2.82,4.92,4.92,4.92,4.91,4.91,4.91,4.9,4.9,4.89,4.89,195.74,0,1,1,0,0,0,-1,0,None,aggregation
18,142.44,remora9,remora5,-11.4,-11.4,-11.4,-22.48,-22.48,-22.48,-29.19,-29.19,-13.12,-13.12,-10.57,-10.57,-10.57,-21.66,-21.66,-21.66,-28.37,-28.37,-12.3,-12.3,2.82,2.84,2.85,2.87,2.89,2.91,2.93,2.96,2.98,2.99,4.89,4.88,4.88,4.87,4.87,4.86,4.86,4.86,4.86,4.85,189.68,0,1,1,0,0,0,-1,0,None,aggregation
18,143.44,remora9,remora5,-21.77,16.84,16.84,16.84,-30.16,14.04,14.04,-12.64,-12.64,-12.64,-20.95,17.34,17.34,17.34,-29.34,14.6,14.6,-11.82,-11.82,-11.82,3.01,3.02,3.02,3.01,3.02,3.04,3.04,3.03,3.03,3.04,4.85,4.85,4.84,4.83,4.83,4.82,4.82,4.81,4.8,4.79,183.23,0,0,1,0,0,0,-1,0,None,aggregation
18,144.44,remora9,remora5,-8.8,-8.8,3.13,-10.76,-10.76,-29.3,-29.3,21.78,21.78,-26.44,-7.98,-7.98,3.89,-9.94,-9.94,-28.48,-28.48,22.18,22.18,-25.62,3.06,3.08,3.1,3.11,3.12,3.13,3.15,3.12,3.1,3.1,4.79,4.79,4.79,4.78,4.78,4.77,4.76,4.76,4.75,4.74,179.43,0,0,1,0,0,0,-1,0,None,aggregation
18,145.44,remora9,remora5,-26.44,-26.44,-26.44,-10.3,-10.3,-10.3,20.43,-10.02,-10.02,-10.02,-25.62,-25.62,-25.62,-9.48,-9.48,-9.48,20.86,-9.2,-9.2,-9.2,3.08,3.06,3.04,3.02,2.99,2.97,2.98,3,3.01,3.03,4.73,4.73,4.73,4.73,4.72,4.72,4.71,4.71,4.71,4.71,172.73,0,0,1,0,0,0,-1,0,None,aggregation
18,146.44,remora9,remora5,7.7,29.97,29.97,29.97,-11.38,-11.38,2.59,2.59,-20.89,-20.89,8.38,29.95,29.95,29.95,-10.56,-10.56,3.36,3.36,-20.07,-20.07,3.05,3.05,3,2.95,2.91,2.89,2.87,2.84,2.83,2.82,4.71,4.71,4.71,4.71,4.71,4.71,4.7,4.7,4.69,4.69,165.73,0,1,1,0,0,0,-1,0,None,aggregation
18,147.44,remora9,remora5,-11.79,-10.96,-10.96,-10.65,-10.65,-10.65,-25.22,2.59,2.59,-16.63,-10.97,-10.14,-10.14,-9.83,-9.83,-9.83,-24.39,3.36,3.36,-15.81,2.8,2.79,2.77,2.75,2.73,2.71,2.7,2.69,2.66,2.64,4.69,4.68,4.68,4.68,4.67,4.67,4.67,4.67,4.67,4.67,159.79,0,1,1,0,0,0,-1,0,None,aggregation
18,148.44,remora9,remora5,-16.63,-16.63,8.02,8.02,-24.5,-24.5,-24.44,13.22,13.22,8.4,-15.81,-15.81,8.69,8.69,-23.68,-23.68,-23.62,13.79,13.79,9.07,2.62,2.6,2.58,2.55,2.52,2.51,2.51,2.5,2.47,2.45,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.68,4.68,4.68,159.84,0,1,1,0,0,0,-1,0,None,aggregation
18,149.44,remora9,remora5,8.4,8.4,8.4,-9.12,-9.12,12.29,12.29,-8.87,-8.87,-7.95,9.07,9.07,9.07,-8.3,-8.3,12.88,12.88,-8.05,-8.05,-7.13,2.41,2.38,2.35,2.34,2.32,2.3,2.26,2.22,2.19,2.17,4.69,4.69,4.7,4.7,4.7,4.7,4.71,4.71,4.71,4.71,153.62,0,1,1,0,0,0,-1,0,None,aggregation
18,150.44,remora9,remora5,-7.95,-7.82,-7.82,-7.82,-8.47,-8.47,-8.43,-8.43,-30.03,-24.71,-7.13,-7,-7,-7,-7.65,-7.65,-7.61,-7.61,-29.21,-23.89,2.15,2.13,2.1,2.08,2.06,2.04,2.02,2,1.99,1.98,4.71,4.71,4.71,4.71,4.72,4.72,4.72,4.72,4.71,4.71,143.86,0,1,1,0,0,0,-1,0,None,aggregation
18,151.44,remora9,remora5,-24.71,4.32,4.32,-22.8,-22.8,-22.8,-16.3,9.71,9.71,11.44,-23.89,5.06,5.06,-21.98,-21.98,-21.98,-15.48,10.35,10.35,12.06,1.98,1.97,1.94,1.91,1.9,1.89,1.88,1.87,1.84,1.8,4.71,4.71,4.71,4.72,4.72,4.72,4.71,4.71,4.71,4.71,146.76,0,1,1,0,0,0,-1,0,None,aggregation
18,152.44,remora9,remora5,11.44,9.72,9.72,-17.87,-17.87,-17.87,-16.57,-7.39,-7.39,-7.39,12.06,10.36,10.36,-17.05,-17.05,-17.05,-15.75,-6.57,-6.57,-6.57,1.76,1.73,1.7,1.67,1.66,1.65,1.64,1.62,1.6,1.58,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.69,4.69,4.69,140.68,0,1,1,0,0,0,-1,0,None,aggregation
18,153.44,remora9,remora5,-7.39,4.7,9.82,9.82,9.82,-6.96,-6.96,-6.96,9.28,-21.32,-6.57,5.43,10.46,10.46,10.46,-6.14,-6.14,-6.14,9.93,-20.5,1.56,1.54,1.51,1.48,1.45,1.43,1.43,1.44,1.43,1.43,4.68,4.68,4.68,4.67,4.68,4.68,4.68,4.68,4.68,4.67,133.16,1,0,1,0,0,0,-1,0,None,aggregation
18,154.44,remora9,remora5,-21.32,-16.8,-16.8,-6.27,-6.27,-6.27,11.09,-6.01,-6.01,11.7,-20.5,-15.98,-15.98,-5.45,-5.45,-5.45,11.71,-5.19,-5.19,12.3,1.44,1.45,1.47,1.48,1.49,1.49,1.49,1.48,1.48,1.48,4.67,4.66,4.65,4.64,4.64,4.64,4.63,4.63,4.63,4.63,126.87,1,0,1,0,0,0,-1,0,None,aggregation
18,155.44,remora9,remora5,11.7,11.7,-20.85,-20.85,-25.18,-25.18,-24.59,-24.59,12.32,12.32,12.3,12.3,-20.03,-20.03,-24.36,-24.36,-23.77,-23.77,12.91,12.91,1.48,1.47,1.47,1.48,1.5,1.53,1.54,1.57,1.57,1.56,4.63,4.63,4.63,4.63,4.62,4.61,4.6,4.59,4.59,4.59,129.95,0,1,1,0,0,0,-1,0,None,aggregation
18,156.44,remora9,remora5,-25.43,-25.43,-15.92,-15.92,12.54,12.54,-5.88,-5.88,-5.88,-20.2,-24.61,-24.61,-15.1,-15.1,13.13,13.13,-5.06,-5.06,-5.06,-19.38,1.56,1.58,1.6,1.62,1.62,1.61,1.61,1.61,1.61,1.61,4.59,4.59,4.59,4.58,4.58,4.58,4.58,4.58,4.58,4.58,127.57,0,1,1,0,0,0,-1,0,None,aggregation
18,157.44,remora9,remora5,-20.2,-25.73,-25.73,-5.6,-5.6,-5.35,-5.35,-20.14,-20.14,-20.14,-19.38,-24.91,-24.91,-4.78,-4.78,-4.53,-4.53,-19.31,-19.31,-19.31,1.63,1.64,1.66,1.68,1.69,1.7,1.7,1.71,1.72,1.74,4.57,4.57,4.57,4.56,4.56,4.56,4.57,4.57,4.57,4.57,131.54,0,1,1,0,0,0,-1,0,None,aggregation
18,158.44,remora9,remora5,-6.03,-6.03,-6.03,-26.3,-26.3,-19.74,-19.74,13.22,13.22,13.22,-5.21,-5.21,-5.21,-25.48,-25.48,-18.92,-18.92,13.8,13.8,13.8,1.75,1.75,1.75,1.75,1.76,1.78,1.8,1.82,1.81,1.8,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.58,130.61,0,1,1,0,0,0,-1,0,None,aggregation
18,159.44,remora9,remora5,5.98,-16.24,-16.24,-19.2,-19.2,-19.2,7.73,7.73,-14.62,-14.62,6.69,-15.42,-15.42,-18.38,-18.38,-18.38,8.41,8.41,-13.8,-13.8,1.79,1.79,1.8,1.81,1.82,1.84,1.85,1.84,1.85,1.86,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.58,4.59,135.18,0,1,1,0,0,0,-1,0,None,aggregation
18,160.44,remora9,remora5,-5.39,-1.41,-1.41,-1.41,15.13,-7.39,-7.39,-7.39,-5.28,-4.32,-4.57,-0.59,-0.59,-0.59,15.67,-6.57,-6.57,-6.57,-4.46,-3.5,1.87,1.88,1.88,1.88,1.87,1.86,1.86,1.87,1.87,1.88,4.59,4.6,4.6,4.61,4.61,4.62,4.63,4.63,4.64,4.64,128.9,0,1,1,0,0,0,-1,0,None,aggregation
18,161.44,remora9,remora5,-4.32,-4.32,-5.35,-3.99,-3.99,-3.99,20.07,-17.81,-17.81,4.7,-3.5,-3.5,-4.53,-3.17,-3.17,-3.17,20.5,-16.99,-16.99,5.43,1.88,1.88,1.89,1.89,1.89,1.9,1.89,1.87,1.88,1.89,4.65,4.65,4.65,4.66,4.66,4.67,4.68,4.68,4.69,4.69,122.41,0,1,1,0,0,0,-1,0,None,aggregation
18,162.44,remora9,remora5,4.7,4.7,-17.69,-17.69,-26.22,-3.84,-3.84,-3.84,-23.03,14.15,5.43,5.43,-16.86,-16.86,-25.4,-3.02,-3.02,-3.02,-22.21,14.7,1.9,1.89,1.9,1.91,1.93,1.95,1.96,1.96,1.97,1.99,4.69,4.7,4.7,4.7,4.7,4.7,4.7,4.71,4.71,4.71,122.06,0,1,1,0,0,0,-1,0,None,aggregation
18,163.44,remora9,remora5,14.15,14.15,-3.71,-3.53,-3.53,-3.53,15.31,15.31,-16.87,8.25,14.7,14.7,-2.89,-2.71,-2.71,-2.71,15.85,15.85,-16.04,8.92,1.99,1.98,1.97,1.97,1.98,1.98,1.97,1.96,1.96,1.98,4.72,4.72,4.73,4.73,4.74,4.74,4.75,4.76,4.77,4.77,122.57,0,1,1,0,0,0,-1,0,None,aggregation
18,164.44,remora9,remora5,8.25,7.09,7.09,-26.16,-26.16,-3.51,-3.51,-3.51,-26.13,-3.19,8.92,7.78,7.78,-25.34,-25.34,-2.69,-2.69,-2.69,-25.31,-2.37,1.98,1.97,1.96,1.96,1.97,1.99,2,2,2.02,2.04,4.78,4.79,4.8,4.8,4.81,4.81,4.81,4.81,4.81,4.81,123.26,0,1,1,0,0,0,-1,0,None,aggregation
18,165.44,remora9,remora5,-3.19,-3.19,-20.76,-5.75,-5.75,-3.3,-3.3,-26.34,-26.34,-26.34,-2.37,-2.37,-19.94,-4.93,-4.93,-2.48,-2.48,-25.52,-25.52,-25.52,2.04,2.05,2.05,2.07,2.08,2.08,2.09,2.09,2.11,2.13,4.81,4.81,4.81,4.81,4.8,4.8,4.8,4.79,4.79,4.78,116.47,0,1,1,0,0,0,-1,0,None,aggregation
18,166.44,remora9,remora5,-20.71,-20.67,-20.67,-4.73,-4.73,-4.73,13.54,13.54,12.01,12.01,-19.89,-19.85,-19.85,-3.91,-3.91,-3.91,14.11,14.11,12.61,12.61,2.15,2.17,2.19,2.2,2.21,2.21,2.21,2.2,2.19,2.18,4.78,4.77,4.77,4.77,4.77,4.77,4.77,4.78,4.79,4.79,114.79,0,1,1,0,0,0,-1,0,None,aggregation
18,167.44,remora9,remora5,-12.34,-12.34,14.98,14.98,-26.36,-26.36,23.67,23.67,-2.73,-2.58,-11.51,-11.51,15.52,15.52,-25.54,-25.54,24.01,24.01,-1.91,-1.76,2.18,2.19,2.18,2.17,2.18,2.2,2.2,2.18,2.17,2.17,4.8,4.8,4.8,4.8,4.8,4.79,4.79,4.8,4.8,4.8,115.64,0,1,1,0,0,0,-1,0,None,aggregation
18,168.44,remora9,remora5,-2.58,-19.64,-19.64,23.83,23.83,-2.15,-2.15,-2.15,-2.08,8.21,-1.76,-18.82,-18.82,24.16,24.16,-1.33,-1.33,-1.33,-1.26,8.88,2.18,2.18,2.19,2.2,2.19,2.17,2.16,2.17,2.17,2.17,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,111.26,0,1,1,0,0,0,-1,0,None,aggregation
18,169.44,remora9,remora5,8.21,8.21,13.13,-1.3,-1.3,-1.3,-0.61,-0.61,-0.82,-0.7,8.88,8.88,13.71,-0.47,-0.47,-0.47,0.21,0.21,0,0.12,2.16,2.16,2.15,2.14,2.14,2.14,2.14,2.14,2.14,2.14,4.8,4.8,4.8,4.81,4.81,4.81,4.81,4.81,4.81,4.82,100.8,0,1,1,0,0,0,-1,0,None,aggregation
18,170.44,remora9,remora5,-0.7,-0.7,-17.6,-17.6,-17.6,-12.02,-12.02,-8.63,-8.63,14.72,0.12,0.12,-16.78,-16.78,-16.78,-11.2,-11.2,-7.8,-7.8,15.27,2.14,2.14,2.14,2.16,2.16,2.16,2.17,2.18,2.19,2.19,4.82,4.81,4.81,4.81,4.81,4.81,4.81,4.8,4.8,4.8,106.17,0,1,1,0,0,0,-1,0,None,aggregation
