seed,timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,faulty_robot,turn_history,movement_pattern
33,18.52,remora10,remora1,11.84,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,11.84,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,5.75,5.73,5.72,5.71,5.70,5.69,5.69,5.68,5.67,5.66,6.01,6.00,5.99,5.98,5.98,5.97,5.97,5.96,5.95,5.95,71.51,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right",adaptive_sampling
33,19.52,remora10,remora1,5.23,5.23,5.23,5.23,5.23,5.23,5.23,13.04,13.04,13.04,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,13.04,13.04,13.04,5.65,5.65,5.64,5.63,5.62,5.62,5.61,5.60,5.59,5.58,5.94,5.93,5.92,5.92,5.91,5.90,5.89,5.88,5.87,5.85,75.42,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right",adaptive_sampling
33,20.52,remora10,remora1,13.04,13.04,13.04,13.04,13.04,20.66,20.66,20.66,20.66,20.66,13.04,13.04,13.04,13.04,13.04,20.66,20.66,20.66,20.66,20.66,5.56,5.54,5.52,5.50,5.48,5.47,5.44,5.42,5.39,5.37,5.83,5.80,5.77,5.74,5.72,5.69,5.66,5.62,5.59,5.56,90.90,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Right",adaptive_sampling
33,21.52,remora10,remora1,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,5.34,5.32,5.30,5.27,5.25,5.22,5.20,5.17,5.15,5.12,5.52,5.49,5.46,5.42,5.39,5.36,5.33,5.30,5.27,5.24,100.62,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Right",adaptive_sampling
33,22.52,remora10,remora1,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,5.10,5.08,5.05,5.03,5.00,4.98,4.95,4.93,4.90,4.88,5.22,5.19,5.16,5.13,5.10,5.07,5.04,5.02,4.99,4.96,121.28,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Right",adaptive_sampling
33,23.52,remora10,remora1,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,20.66,4.86,4.83,4.81,4.78,4.76,4.73,4.71,4.69,4.66,4.64,4.93,4.90,4.88,4.85,4.82,4.79,4.76,4.74,4.71,4.68,131.28,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Right",adaptive_sampling
33,24.52,remora10,remora1,20.66,20.66,20.66,5.23,5.23,5.23,5.23,5.23,5.23,5.23,20.66,20.66,20.66,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,4.61,4.59,4.56,4.54,4.53,4.52,4.52,4.51,4.49,4.48,4.65,4.62,4.60,4.57,4.55,4.54,4.52,4.51,4.51,4.50,125.63,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Right",adaptive_sampling
33,25.52,remora10,remora1,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,4.46,4.44,4.42,4.41,4.39,4.39,4.38,4.38,4.38,4.39,4.49,4.48,4.47,4.46,4.46,4.45,4.45,4.45,4.45,4.45,113.79,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Right",adaptive_sampling
33,26.52,remora10,remora1,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,19.58,19.58,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,19.58,19.58,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.39,4.38,4.46,4.46,4.46,4.46,4.45,4.45,4.44,4.43,4.43,4.41,105.86,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Right",adaptive_sampling
33,27.52,remora10,remora1,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,19.58,4.36,4.33,4.30,4.26,4.22,4.18,4.14,4.10,4.06,4.02,4.39,4.37,4.33,4.30,4.27,4.23,4.19,4.16,4.12,4.09,113.61,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Right | Right",adaptive_sampling
