seed,timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,faulty_robot,turn_history,movement_pattern
360,18.53,remora8,remora5,-14.27,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,1.43,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,29.04,1.25,1.27,1.27,1.27,1.26,1.26,1.25,1.23,1.23,1.22,8.12,8.11,8.11,8.10,8.08,8.07,8.05,8.03,8.01,7.98,119.93,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Right | Left",adaptive_sampling
360,19.53,remora8,remora5,-10.80,-10.80,-10.37,-10.37,-10.17,-10.17,-10.17,-9.59,-9.59,10.21,4.90,4.90,5.33,5.33,5.53,5.53,5.53,6.11,6.11,9.77,1.21,1.20,1.20,1.21,1.21,1.22,1.21,1.18,1.15,1.14,7.96,7.95,7.93,7.92,7.92,7.91,7.90,7.90,7.89,7.89,123.07,1.00,1.00,1.00,1.00,1.00,0.00,-1.00,0,None,1,"Left | Right | Left",adaptive_sampling
360,20.53,remora8,remora5,10.78,10.78,10.97,10.97,10.97,10.96,10.92,10.92,10.87,10.87,8.86,8.86,8.36,8.36,8.36,8.37,8.48,8.48,8.62,8.62,1.13,1.13,1.13,1.14,1.16,1.17,1.19,1.21,1.22,1.24,7.88,7.87,7.86,7.86,7.85,7.84,7.84,7.83,7.83,7.82,131.03,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Left | Left",adaptive_sampling
360,21.53,remora8,remora5,10.87,29.04,29.04,29.04,29.04,29.04,5.23,5.23,5.23,5.23,8.62,29.04,29.04,29.04,29.04,29.04,-5.23,-5.23,-5.23,-5.23,1.25,1.27,1.28,1.30,1.32,1.34,1.36,1.37,1.38,1.39,7.82,7.81,7.80,7.79,7.77,7.76,7.74,7.73,7.72,7.72,128.99,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Left | Left",adaptive_sampling
360,22.53,remora8,remora5,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,1.39,1.39,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.37,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,115.97,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Left | Left",adaptive_sampling
360,23.53,remora8,remora5,5.23,5.23,5.23,5.23,5.23,25.82,25.82,25.82,25.82,25.82,-5.23,-5.23,-5.23,-5.23,-5.23,25.82,25.82,25.82,25.82,25.82,1.37,1.37,1.37,1.37,1.37,1.37,1.38,1.39,1.41,1.43,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.72,7.71,7.70,123.56,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Left | Left",adaptive_sampling
360,24.53,remora8,remora5,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,1.45,1.48,1.50,1.53,1.55,1.58,1.60,1.61,1.62,1.62,7.69,7.68,7.67,7.65,7.64,7.64,7.63,7.61,7.60,7.59,145.66,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
360,25.53,remora8,remora5,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,1.62,1.62,1.62,1.62,1.61,1.61,1.61,1.61,1.61,1.60,7.58,7.57,7.55,7.54,7.53,7.52,7.51,7.50,7.48,7.47,152.86,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
360,26.53,remora8,remora5,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,25.82,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.60,1.61,1.62,7.46,7.45,7.44,7.42,7.41,7.40,7.39,7.38,7.37,7.36,160.06,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
360,27.53,remora8,remora5,25.82,25.82,25.82,25.82,25.82,25.82,25.82,20.32,21.01,21.01,25.82,25.82,25.82,25.82,25.82,25.82,25.82,20.32,21.01,21.01,1.62,1.63,1.64,1.65,1.66,1.67,1.68,1.69,1.70,1.70,7.35,7.34,7.32,7.31,7.30,7.29,7.28,7.27,7.26,7.25,169.83,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
360,28.53,remora8,remora5,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,1.71,1.71,1.72,1.72,1.73,1.74,1.74,1.74,1.72,1.71,7.24,7.23,7.22,7.21,7.20,7.19,7.18,7.16,7.15,7.14,164.06,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
360,29.53,remora8,remora5,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,1.69,1.67,1.66,1.64,1.64,1.64,1.64,1.64,1.65,1.66,7.13,7.12,7.11,7.09,7.08,7.08,7.07,7.06,7.06,7.05,181.92,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
360,30.53,remora8,remora5,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,1.66,1.67,1.68,1.68,1.69,1.68,1.68,1.67,1.66,1.64,7.05,7.04,7.04,7.03,7.03,7.02,7.02,7.01,7.01,7.00,193.21,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
360,31.53,remora8,remora5,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,21.01,1.63,1.62,1.61,1.60,1.59,1.58,1.57,1.56,1.56,1.55,7.00,6.99,6.98,6.98,6.97,6.97,6.96,6.96,6.95,6.95,198.72,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
360,32.53,remora8,remora5,21.01,5.23,5.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,21.01,-5.23,-5.23,15.23,15.23,15.23,15.23,15.23,15.23,15.23,1.54,1.53,1.53,1.52,1.52,1.51,1.51,1.50,1.50,1.49,6.94,6.93,6.93,6.92,6.92,6.91,6.91,6.90,6.89,6.89,211.48,1.00,1.00,1.00,1.00,1.00,0.00,-1.00,0,None,1,"Left | Left | Right",adaptive_sampling
