seed,timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,faulty_robot,turn_history,movement_pattern
531,18.53,remora9,remora4,11.06,11.06,11.02,11.02,10.98,10.98,10.98,10.95,10.92,10.92,8.01,8.01,8.17,8.17,8.31,8.31,8.31,8.42,8.49,8.49,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.83,0.84,0.84,8.97,8.96,8.96,8.95,8.95,8.94,8.94,8.93,8.93,8.92,57.31,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right",adaptive_sampling
531,19.53,remora9,remora4,10.89,10.89,10.87,10.87,10.83,10.83,10.81,10.81,10.79,10.79,8.58,8.58,8.64,8.64,8.73,8.73,8.78,8.78,8.82,8.82,0.85,0.85,0.86,0.86,0.87,0.87,0.88,0.89,0.89,0.90,8.92,8.92,8.92,8.91,8.91,8.91,8.91,8.91,8.91,8.91,67.08,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right",adaptive_sampling
531,20.53,remora9,remora4,10.78,10.78,10.76,10.76,10.76,10.76,10.74,10.71,10.71,10.71,8.84,8.84,8.88,8.88,8.90,8.90,8.93,9.00,9.00,9.00,0.91,0.92,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.98,8.90,8.90,8.90,8.90,8.90,8.89,8.89,8.89,8.89,8.89,75.46,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right",adaptive_sampling
531,21.53,remora9,remora4,10.71,10.68,10.64,10.64,10.56,10.56,10.39,10.39,9.79,9.79,9.00,9.06,9.13,9.13,9.28,9.28,9.53,9.53,10.20,10.20,1.00,1.00,1.01,1.02,1.04,1.05,1.06,1.07,1.08,1.09,8.89,8.89,8.89,8.89,8.89,8.88,8.88,8.88,8.88,8.88,75.30,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right",adaptive_sampling
531,22.53,remora9,remora4,-6.40,-6.40,-16.36,-16.36,-16.30,-16.30,-13.64,-13.64,11.25,11.25,8.33,8.33,-0.66,-0.66,-0.61,-0.61,2.06,2.06,6.76,6.76,1.08,1.08,1.08,1.08,1.09,1.10,1.10,1.10,1.10,1.10,8.88,8.88,8.88,8.89,8.89,8.89,8.90,8.90,8.90,8.90,74.78,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right",adaptive_sampling
531,23.53,remora9,remora4,11.21,11.21,11.16,11.16,-16.03,-16.03,-16.28,-16.28,-16.46,-16.46,4.73,4.73,4.30,4.30,-0.33,-0.33,-0.58,-0.58,-0.76,-0.76,1.11,1.12,1.13,1.13,1.13,1.13,1.14,1.15,1.16,1.16,8.90,8.89,8.89,8.89,8.88,8.88,8.88,8.88,8.89,8.89,80.09,1.00,1.00,1.00,1.00,1.00,0.00,-1.00,0,None,1,"Right | Left",adaptive_sampling
531,24.53,remora9,remora4,10.26,10.26,10.26,10.79,10.79,10.85,10.96,10.96,10.96,-16.12,-0.12,-0.12,-0.12,2.06,2.06,2.35,2.95,2.95,2.95,-0.42,1.16,1.17,1.17,1.18,1.20,1.21,1.22,1.23,1.23,1.24,8.89,8.89,8.89,8.89,8.89,8.89,8.89,8.88,8.88,8.88,84.21,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Left",adaptive_sampling
531,25.53,remora9,remora4,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,-5.23,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,5.23,1.25,1.26,1.27,1.28,1.30,1.30,1.31,1.32,1.33,1.33,8.88,8.88,8.88,8.88,8.88,8.88,8.87,8.87,8.87,8.86,94.98,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Left",adaptive_sampling
531,26.53,remora9,remora4,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,1.35,1.36,1.38,1.41,1.43,1.43,1.43,1.43,1.43,1.43,8.86,8.86,8.86,8.87,8.87,8.87,8.88,8.88,8.88,8.89,86.59,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Left",adaptive_sampling
531,27.53,remora9,remora4,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,-5.23,22.20,22.20,5.23,5.23,5.23,5.23,5.23,5.23,5.23,5.23,22.20,22.20,1.43,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,8.89,8.89,8.90,8.90,8.90,8.90,8.91,8.91,8.91,8.91,81.74,1.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,"Right | Left",adaptive_sampling
