seed,timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,faulty_robot,movement_pattern
124,131.53,remora9,remora0,-5.42,-12.99,-12.99,-11.63,-11.63,-14.00,-14.00,-15.42,-15.42,-12.49,5.05,-2.53,-2.53,-1.17,-1.17,-3.53,-3.53,-4.96,-4.96,-2.03,4.82,4.85,4.87,4.89,4.92,4.94,4.96,4.98,5.01,5.03,7.54,7.54,7.55,7.55,7.56,7.56,7.56,7.57,7.57,7.57,227.70,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,132.53,remora9,remora0,-12.49,-10.37,-10.37,-10.67,-10.67,-8.98,-8.98,-7.16,-7.16,-4.74,-2.03,0.09,0.09,-0.20,-0.20,1.49,1.49,3.31,3.31,5.63,5.03,5.02,5.02,5.01,5.01,5.01,5.00,5.00,5.00,5.00,7.58,7.58,7.59,7.59,7.59,7.59,7.59,7.60,7.60,7.60,201.98,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,133.53,remora9,remora0,-4.74,-2.95,-2.95,-3.03,-3.03,-1.80,-1.80,-0.76,-0.76,-0.10,5.63,7.06,7.06,6.99,6.99,7.98,7.98,8.81,8.81,9.33,5.00,5.01,5.01,5.02,5.02,5.03,5.04,5.05,5.06,5.08,7.60,7.59,7.59,7.58,7.58,7.58,7.58,7.58,7.58,7.58,174.91,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,134.53,remora9,remora0,-0.10,1.19,1.19,2.05,2.05,2.95,2.95,3.80,3.80,4.30,9.33,10.37,10.37,11.05,11.05,11.76,11.76,12.44,12.44,12.84,5.09,5.10,5.11,5.11,5.10,5.08,5.07,5.05,5.03,5.01,7.57,7.57,7.57,7.57,7.56,7.56,7.56,7.56,7.55,7.55,152.10,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,135.53,remora9,remora0,4.30,5.44,5.44,6.99,6.99,8.29,8.29,9.30,9.30,10.15,12.84,13.74,13.74,14.96,14.96,15.98,15.98,16.77,16.77,17.43,4.99,4.97,4.95,4.93,4.90,4.88,4.85,4.83,4.80,4.77,7.55,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.54,7.53,133.93,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,136.53,remora9,remora0,10.15,11.09,11.09,11.76,11.76,12.74,12.74,13.07,13.07,14.21,17.43,18.16,18.16,18.68,18.68,19.43,19.43,19.69,19.69,20.55,4.74,4.71,4.68,4.65,4.61,4.58,4.55,4.51,4.48,4.44,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.53,7.52,7.52,120.14,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,137.53,remora9,remora0,14.21,14.44,14.44,13.98,13.98,14.06,14.06,13.95,13.95,14.20,20.55,20.73,20.73,20.38,20.38,20.44,20.44,20.36,20.36,20.55,4.40,4.36,4.32,4.28,4.25,4.21,4.17,4.12,4.08,4.04,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.52,7.51,108.39,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,138.53,remora9,remora0,14.20,14.02,14.02,12.59,12.59,11.63,11.63,11.50,11.50,10.60,20.55,20.41,20.41,19.32,19.32,18.58,18.58,18.48,18.48,17.78,4.00,3.96,3.92,3.87,3.83,3.79,3.75,3.71,3.67,3.63,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,96.19,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,139.53,remora9,remora0,10.60,9.51,9.51,8.83,8.83,7.13,7.13,6.94,6.94,6.66,17.78,16.94,16.94,16.40,16.40,15.07,15.07,14.92,14.92,14.70,3.59,3.55,3.50,3.46,3.42,3.39,3.35,3.31,3.27,3.23,7.50,7.50,7.50,7.50,7.50,7.50,7.50,7.49,7.49,7.49,98.41,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,140.53,remora9,remora0,6.66,6.52,6.52,6.43,6.43,6.40,6.40,6.65,6.65,7.64,14.70,14.59,14.59,14.52,14.52,14.49,14.49,14.69,14.69,15.47,3.19,3.15,3.12,3.08,3.04,3.00,2.97,2.93,2.89,2.85,7.49,7.49,7.49,7.48,7.48,7.48,7.48,7.47,7.47,7.47,103.80,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,141.53,remora9,remora0,7.64,7.33,7.33,8.72,8.72,9.47,9.47,10.07,10.07,10.99,15.47,15.22,15.22,16.31,16.31,16.90,16.90,17.37,17.37,18.09,2.81,2.78,2.74,2.70,2.66,2.62,2.59,2.55,2.51,2.47,7.47,7.46,7.46,7.46,7.45,7.45,7.45,7.45,7.44,7.44,109.18,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,142.53,remora9,remora0,10.99,12.16,12.16,12.96,12.96,14.15,14.15,15.12,15.12,16.31,18.09,18.99,18.99,19.60,19.60,20.51,20.51,21.25,21.25,22.14,2.44,2.40,2.36,2.32,2.29,2.25,2.21,2.18,2.14,2.10,7.44,7.44,7.43,7.43,7.43,7.43,7.42,7.42,7.42,7.42,122.01,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,143.53,remora9,remora0,16.31,17.71,17.71,18.69,18.69,19.88,19.88,20.92,20.92,21.91,22.14,23.18,23.18,23.90,23.90,24.76,24.76,25.49,25.49,26.18,2.07,2.04,2.00,1.97,1.94,1.90,1.87,1.84,1.81,1.79,7.42,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,141.06,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,144.53,remora9,remora0,21.91,22.96,22.96,24.06,24.06,24.87,24.87,25.76,25.76,26.47,26.18,26.89,26.89,27.61,27.61,28.12,28.12,28.65,28.65,29.06,1.76,1.73,1.71,1.68,1.66,1.64,1.63,1.63,1.64,1.65,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.41,7.42,7.42,160.25,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,145.53,remora9,remora0,26.47,27.06,27.06,27.58,27.58,28.01,28.01,28.32,28.32,28.59,29.06,29.37,29.37,29.62,29.62,29.81,29.81,29.93,29.93,30.02,1.66,1.67,1.68,1.69,1.70,1.71,1.72,1.74,1.75,1.77,7.43,7.43,7.44,7.45,7.45,7.46,7.46,7.46,7.46,7.47,177.55,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
124,146.53,remora9,remora0,28.59,28.82,28.82,29.04,29.04,29.20,29.20,29.29,29.29,29.42,30.02,30.09,30.09,30.14,30.14,30.17,30.17,30.18,30.18,30.18,1.78,1.80,1.82,1.83,1.85,1.87,1.89,1.91,1.93,1.95,7.47,7.48,7.48,7.49,7.49,7.50,7.51,7.51,7.52,7.52,191.57,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,1,aggregation
