seed,timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,faulty_robot,movement_pattern
186,131.55,remora9,remora5,1.27,1.27,-6.90,-6.90,-6.80,-6.80,1.25,1.25,-7.75,-7.75,2.06,2.06,-6.08,-6.08,-5.98,-5.98,2.05,2.05,-6.92,-6.92,3.18,3.17,3.17,3.17,3.17,3.17,3.16,3.16,3.16,3.16,6.77,6.77,6.76,6.76,6.75,6.74,6.73,6.72,6.72,6.71,44.84,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,132.55,remora9,remora5,-7.68,-8.14,-8.14,-8.14,1.40,1.40,1.27,1.27,1.32,1.32,-6.86,-7.31,-7.31,-7.31,2.19,2.19,2.06,2.06,2.11,2.11,3.16,3.16,3.16,3.15,3.15,3.15,3.16,3.16,3.16,3.16,6.70,6.70,6.69,6.68,6.67,6.67,6.67,6.67,6.66,6.66,37.51,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,133.55,remora9,remora5,1.39,1.39,17.26,17.26,17.61,17.61,0.00,0.00,0.00,0.00,2.18,2.18,17.75,17.75,18.10,18.10,0.00,0.00,0.00,0.00,3.16,3.17,3.17,3.17,3.18,3.19,3.19,3.19,3.19,3.19,6.65,6.65,6.65,6.66,6.66,6.66,6.66,6.65,6.65,6.65,35.74,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,134.55,remora9,remora5,0.89,0.89,23.61,23.61,0.90,0.90,10.10,10.10,0.94,0.94,0.07,0.07,23.26,23.26,0.09,0.09,9.45,9.45,0.12,0.12,3.19,3.20,3.20,3.20,3.21,3.21,3.21,3.22,3.22,3.23,6.65,6.66,6.67,6.68,6.69,6.69,6.70,6.70,6.71,6.71,35.88,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,135.55,remora9,remora5,10.14,10.14,10.41,10.41,10.19,10.19,2.02,2.02,10.01,10.01,9.50,9.50,9.77,9.77,9.54,9.54,1.22,1.22,9.36,9.36,3.23,3.24,3.25,3.25,3.26,3.26,3.26,3.26,3.26,3.26,6.71,6.72,6.73,6.73,6.73,6.73,6.73,6.72,6.72,6.73,39.46,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,136.55,remora9,remora5,2.03,2.03,9.82,9.82,9.59,9.59,9.36,9.36,0.00,0.00,1.23,1.23,9.16,9.16,8.93,8.93,8.70,8.70,0.00,0.00,3.27,3.27,3.27,3.27,3.27,3.28,3.29,3.29,3.29,3.29,6.74,6.74,6.75,6.75,6.75,6.76,6.76,6.77,6.77,6.77,42.41,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,137.55,remora9,remora5,0.00,0.00,20.72,20.72,8.69,8.69,8.18,8.18,7.94,7.94,0.00,0.00,20.29,20.29,8.01,8.01,7.50,7.50,7.25,7.25,3.29,3.29,3.30,3.30,3.31,3.31,3.31,3.31,3.31,3.32,6.78,6.79,6.80,6.81,6.81,6.82,6.82,6.83,6.84,6.84,50.36,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,138.55,remora9,remora5,7.94,7.69,7.44,7.44,7.18,7.18,6.92,6.92,6.66,6.66,7.25,7.00,6.74,6.74,6.48,6.48,6.22,6.22,5.95,5.95,3.32,3.32,3.32,3.33,3.33,3.33,3.33,3.34,3.34,3.34,6.85,6.85,6.86,6.87,7.50,7.50,7.51,7.51,7.51,7.51,55.87,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,139.55,remora9,remora5,6.41,5.99,5.99,5.99,5.58,5.58,5.31,5.31,5.03,5.03,5.69,5.27,5.27,5.27,4.85,4.85,4.57,4.57,4.29,4.29,3.34,3.34,3.34,3.34,3.34,3.34,3.34,3.35,3.35,3.35,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,59.93,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
186,140.55,remora9,remora5,4.61,4.61,4.19,4.19,3.91,3.91,3.49,3.49,3.22,3.22,3.86,3.86,3.44,3.44,3.15,3.15,2.72,2.72,2.44,2.44,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.36,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.52,7.52,61.72,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
