seed,timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,RUL,fault_status,fault_type,faulty_robot,movement_pattern
190,131.57,remora9,remora2,-22.86,-22.86,25.28,25.28,25.29,25.29,29.15,29.15,25.78,25.78,-17.63,-17.63,26.99,26.99,27.00,27.00,29.78,29.78,27.39,27.39,1.79,1.79,1.78,1.76,1.75,1.73,1.73,1.72,1.71,1.71,4.49,4.48,4.48,4.48,4.48,4.48,4.48,4.48,4.49,4.50,208.31,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,132.57,remora9,remora2,26.04,26.04,26.35,26.35,-10.39,-10.39,26.93,26.93,-2.66,-2.66,27.59,27.59,27.83,27.83,-5.16,-5.16,28.27,28.27,2.58,2.58,1.70,1.70,1.69,1.68,1.67,1.66,1.66,1.66,1.66,1.66,4.51,4.53,4.55,4.56,4.57,4.57,4.57,4.58,4.58,4.58,205.87,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,133.57,remora9,remora2,29.44,27.64,27.64,27.64,27.82,29.57,29.57,29.57,28.33,10.11,29.92,28.79,28.79,28.79,28.92,29.98,29.98,29.98,29.27,13.97,1.66,1.66,1.67,1.67,1.67,1.67,1.66,1.66,1.66,1.66,4.59,4.60,4.61,4.61,4.62,4.63,4.63,4.64,4.64,4.65,212.10,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,134.57,remora9,remora2,10.11,10.11,28.78,28.78,28.95,28.95,28.95,24.24,16.92,16.92,13.97,13.97,29.56,29.56,29.67,29.67,29.67,26.15,19.95,19.95,1.65,1.65,1.65,1.66,1.66,1.66,1.66,1.66,1.66,1.67,4.64,4.64,4.64,4.64,4.64,4.65,4.65,4.65,4.65,4.66,218.09,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,135.57,remora9,remora2,29.47,29.47,4.79,20.22,20.22,20.22,30.04,30.04,21.93,21.93,29.94,29.94,9.24,22.79,22.79,22.79,29.93,29.93,24.24,24.24,1.68,1.69,1.69,1.69,1.70,1.70,1.71,1.73,1.74,1.75,4.66,4.67,4.67,4.67,4.67,4.67,4.67,4.68,4.69,4.69,215.00,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,136.57,remora9,remora2,22.53,22.53,23.28,23.28,21.17,21.17,28.66,28.66,30.04,30.04,24.74,24.74,25.37,25.37,23.60,23.60,29.49,29.49,29.79,29.79,1.76,1.76,1.77,1.77,1.78,1.80,1.81,1.83,1.85,1.87,4.69,4.69,4.70,4.70,4.70,4.71,4.71,4.72,4.73,4.74,220.63,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,137.57,remora9,remora2,29.87,26.20,26.20,26.20,26.56,26.56,24.01,24.01,29.91,29.91,29.33,27.71,27.71,27.71,27.99,27.99,25.97,25.97,29.40,29.40,1.89,1.91,1.94,1.96,1.98,1.99,2.01,2.03,2.05,2.07,4.75,4.76,4.77,4.78,4.79,4.80,4.81,4.82,4.83,4.84,235.65,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,138.57,remora9,remora2,29.51,17.74,17.74,27.84,27.84,27.84,19.02,19.02,19.73,19.73,29.95,20.66,20.66,28.94,28.94,28.94,21.77,21.77,22.37,22.37,2.09,2.11,2.12,2.14,2.16,2.18,2.20,2.22,2.23,2.25,4.86,4.88,4.89,4.90,4.91,4.92,4.93,4.94,4.95,4.96,234.84,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,139.57,remora9,remora2,20.40,20.40,21.09,21.09,21.09,27.36,22.34,29.13,29.13,29.13,22.95,22.95,23.53,23.53,23.53,28.59,24.58,29.77,29.77,29.77,2.26,2.28,2.30,2.32,2.34,2.36,2.38,2.40,2.43,2.45,4.97,4.98,4.99,5.00,5.01,5.02,5.03,5.05,5.06,5.07,242.87,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,140.57,remora9,remora2,23.26,23.26,23.26,29.83,24.03,24.03,24.40,24.85,24.85,24.85,25.35,25.35,25.35,29.25,25.98,25.98,26.28,26.65,26.65,26.65,2.48,2.50,2.53,2.55,2.58,2.60,2.63,2.65,2.67,2.70,5.09,5.10,5.12,5.13,5.15,5.16,5.18,5.19,5.21,5.22,245.24,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,141.57,remora9,remora2,29.56,30.02,30.02,30.02,29.09,29.09,25.96,29.25,29.25,29.25,29.97,29.69,29.69,29.69,29.75,29.75,27.53,29.83,29.83,29.83,2.72,2.75,2.78,2.80,2.83,2.86,2.89,2.91,2.94,2.97,5.24,5.26,5.27,5.29,5.31,5.33,5.35,5.36,5.38,5.40,248.88,0.00,1.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,142.57,remora9,remora2,29.32,29.32,26.21,26.21,26.82,26.82,29.44,29.44,29.49,29.49,29.87,29.87,24.31,24.31,28.19,28.19,29.92,29.92,29.95,29.95,3.00,3.03,3.06,3.08,3.10,3.13,3.16,3.19,3.22,3.25,5.41,5.43,5.45,5.47,5.48,5.50,5.52,5.54,5.56,5.58,259.37,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,143.57,remora9,remora2,27.33,27.33,27.87,27.87,17.68,17.68,0.00,0.00,0.00,0.00,28.57,28.57,26.41,26.41,20.61,20.61,0.00,0.00,0.00,0.00,3.28,3.31,3.33,3.36,3.39,3.41,3.42,3.42,3.43,3.43,5.60,5.62,5.63,5.65,5.67,5.68,5.69,5.70,5.70,5.71,246.93,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,144.57,remora9,remora2,-23.53,-23.53,-27.38,-27.38,1.82,1.82,2.79,2.79,-27.24,-27.24,-28.76,-28.76,-32.61,-32.61,-3.42,-3.42,-2.42,-2.42,-32.47,-32.47,3.42,3.40,3.38,3.36,3.36,3.36,3.37,3.37,3.37,3.35,5.70,5.69,5.69,5.67,5.67,5.68,5.68,5.69,5.68,5.67,241.08,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,145.57,remora9,remora2,-21.27,-21.27,-20.36,-19.41,-19.41,-19.41,7.84,7.84,-18.00,-18.00,-26.50,-26.50,-25.59,-24.64,-24.64,-24.64,3.23,3.23,-23.23,-23.23,3.33,3.32,3.30,3.29,3.28,3.27,3.27,3.28,3.28,3.28,5.66,5.65,5.65,5.64,5.63,5.62,5.62,5.63,5.63,5.63,236.29,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
190,146.57,remora9,remora2,-26.19,-26.19,-16.61,-16.61,-15.79,-15.79,-25.29,-25.29,-13.61,-13.61,-31.42,-31.42,-21.84,-21.84,-21.02,-21.02,-30.52,-30.52,-18.85,-18.85,3.26,3.25,3.23,3.23,3.22,3.21,3.20,3.19,3.18,3.17,5.61,5.60,5.58,5.57,5.57,5.56,5.54,5.53,5.51,5.51,232.53,0.00,0.00,1.00,0.00,0.00,0.00,-1.00,0,None,0,aggregation
