timestamp,observer_id,observed_id,f1_0,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f2_0,f2_1,f2_2,f2_3,f2_4,f2_5,f2_6,f2_7,f2_8,f2_9,f3_0,f3_1,f3_2,f3_3,f3_4,f3_5,f3_6,f3_7,f3_8,f3_9,f4_0,f4_1,f4_2,f4_3,f4_4,f4_5,f4_6,f4_7,f4_8,f4_9,f5,F1,F2,F3,F4,F5,F6,fault_status,fault_type,movement_pattern
139.18,remora9,remora8,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,3.84,3.79,3.77,3.74,3.71,3.68,3.65,3.62,3.55,3.50,5.97,5.94,5.92,5.90,5.87,5.85,5.82,5.80,6.83,6.80,294.00,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
140.18,remora9,remora8,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,3.43,3.40,3.36,3.34,3.31,3.28,3.26,3.24,3.22,3.19,6.76,6.74,6.71,6.69,6.66,6.63,6.61,6.58,6.56,6.53,294.00,0.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
141.18,remora9,remora8,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,3.14,3.08,3.02,2.96,2.90,2.84,2.78,2.72,2.66,2.60,6.50,6.46,6.42,6.39,6.35,6.32,6.28,6.24,6.21,6.17,294.00,0.00,1.00,1.00,0.00,0.00,0.00,0,None,aggregation
142.18,remora9,remora8,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,2.54,2.48,2.42,2.36,2.30,2.25,2.19,2.14,2.09,2.04,6.14,6.11,6.08,6.04,6.01,5.98,5.94,5.91,5.88,5.84,300.00,0.00,1.00,1.00,0.00,0.00,0.00,0,None,aggregation
143.18,remora9,remora8,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,1.99,1.95,1.90,1.85,1.82,1.77,1.73,1.69,1.65,1.62,5.81,5.78,5.75,5.72,5.69,5.66,5.63,5.59,5.56,5.53,300.00,0.00,1.00,1.00,0.00,0.00,0.00,0,None,aggregation
144.18,remora9,remora8,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.58,1.54,1.50,1.48,1.48,1.47,1.47,1.46,1.46,1.45,5.51,5.48,5.44,5.42,5.42,5.41,5.40,5.40,5.39,5.38,279.00,1.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
145.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.45,1.45,1.44,1.44,1.44,1.43,1.43,1.43,1.43,1.43,5.38,5.37,5.37,5.36,5.35,5.34,5.33,5.32,5.31,5.31,249.00,1.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
146.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.41,1.41,1.41,5.31,5.31,5.31,5.32,5.32,5.33,5.33,5.33,5.33,5.33,219.00,1.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
147.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,1.41,5.34,5.34,5.36,5.36,5.37,5.38,5.38,5.39,5.39,5.39,189.00,1.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
148.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.41,1.41,1.41,1.41,1.40,1.40,1.40,1.40,1.40,1.40,5.40,5.41,5.41,5.42,5.42,5.42,5.42,5.43,5.44,5.44,159.00,1.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
149.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,5.44,5.44,5.45,5.45,5.46,5.47,5.47,5.48,5.48,5.48,129.00,1.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
150.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,1.40,5.48,5.49,5.49,5.49,5.50,5.51,5.52,5.53,5.53,5.55,99.00,1.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
151.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.40,1.40,1.40,1.40,1.40,1.39,1.39,1.39,1.39,5.56,5.58,5.59,5.60,4.51,4.52,4.52,4.53,4.54,4.55,69.00,1.00,0.00,1.00,0.00,0.00,0.00,0,None,aggregation
152.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,4.56,4.57,4.58,4.59,4.59,4.60,4.60,4.61,4.61,4.62,39.00,1.00,0.00,0.00,0.00,0.00,0.00,0,None,aggregation
153.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,4.62,4.63,4.64,4.65,4.66,4.67,4.67,4.68,4.68,4.69,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0,None,aggregation
154.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,4.70,4.71,4.72,4.72,4.72,4.73,4.73,4.73,4.74,4.74,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,None,aggregation
155.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,1.39,4.75,4.76,4.77,4.78,4.78,4.78,4.78,4.79,4.79,3.02,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,None,aggregation
156.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,3.03,3.03,3.04,3.04,3.03,3.03,3.02,3.02,3.02,3.03,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0,None,aggregation
157.18,remora9,remora8,0.00,0.00,0.00,0.00,0.00,-29.58,-29.58,-29.58,-29.58,-29.58,0.00,0.00,0.00,0.00,0.00,-30.40,-30.40,-30.40,-30.40,-30.40,1.38,1.38,1.38,1.38,1.38,1.38,1.41,1.44,1.47,1.50,3.03,3.03,3.04,3.03,3.03,3.03,3.04,3.05,3.07,3.09,14.99,1.00,0.00,0.00,0.00,0.00,0.00,0,None,aggregation
